submission,revision,revision_type,empirical_provenance_status,revision_plan_present,empirical_changed_from_previous,packaging_changed_from_previous,analysis_change_kind,primary_metrics_change_kind,primary_metric_max_abs_delta,empirical_files_changed,packaging_files_changed,compute_numeric_cpu_core_hours,compute_delta_from_previous_cpu_core_hours,compute_change_ratio_from_previous,compute_rows,unresolved_issue_count,transient_file_count,prior_review_event_status,revision_start_event_line,prior_review_event_line
submission_001_researcher_1,revision_00,not_applicable_initial,not_declared,True,not_applicable_initial,not_applicable_initial,not_applicable_initial,not_applicable_initial,0.0,,,0.000211,0.0,not_applicable_initial,3,0,0,not_applicable_initial,,
submission_001_researcher_1,revision_01,empirical_revision,rerun_current_revision,True,true,true,unchanged,unchanged,0.0,empirical_provenance.json;results.json;stable_results.json,artifact_manifest.json;issue_ledger.md;manuscript.pdf;presentation_checklist.md;revision_response.md;verification_matrix.csv,0.000211,0.0,1.000000,3,0,0,missing_prior_review_event,6,
submission_002_researcher_2,revision_00,not_applicable_initial,not_declared,True,not_applicable_initial,not_applicable_initial,not_applicable_initial,not_applicable_initial,0.0,,,0.000376,0.0,not_applicable_initial,3,0,0,not_applicable_initial,,
submission_002_researcher_2,revision_01,empirical_revision,rerun_current_revision,True,true,true,unchanged,unchanged,0.0,compute_log.csv;empirical_provenance.json;results.json;stable_results.json,artifact_manifest.json;issue_ledger.md;manuscript.pdf;presentation_checklist.md;revision_response.md;verification_matrix.csv,0.000376,0.0,1.000000,3,0,0,missing_prior_review_event,8,
